Date,Open,High,Low,Close,Adj Close,Volume
2022-06-29,48650.000000,51000.000000,48250.000000,49500.000000,49500.000000,441974
2022-06-30,49550.000000,50300.000000,48700.000000,48700.000000,48700.000000,281000
2022-07-01,49550.000000,51600.000000,49450.000000,50400.000000,50400.000000,555430
2022-07-04,50600.000000,50700.000000,46150.000000,46950.000000,46950.000000,549775
2022-07-05,46950.000000,46950.000000,43800.000000,46000.000000,46000.000000,771438
2022-07-06,45450.000000,46500.000000,44000.000000,44050.000000,44050.000000,553024
2022-07-07,44350.000000,44750.000000,43250.000000,44600.000000,44600.000000,324830
2022-07-08,45250.000000,45400.000000,44250.000000,44600.000000,44600.000000,318899
2022-07-11,44750.000000,44800.000000,43800.000000,44100.000000,44100.000000,259194
2022-07-12,43850.000000,43950.000000,42050.000000,42350.000000,42350.000000,363531
2022-07-13,42000.000000,42400.000000,40850.000000,41650.000000,41650.000000,432486
2022-07-14,41050.000000,43750.000000,40950.000000,43300.000000,43300.000000,497899
2022-07-15,43800.000000,43850.000000,42050.000000,43250.000000,43250.000000,389913
2022-07-18,43400.000000,44700.000000,43400.000000,44300.000000,44300.000000,321448
2022-07-19,45350.000000,46750.000000,44850.000000,45750.000000,45750.000000,700998
2022-07-20,46900.000000,46900.000000,44550.000000,45800.000000,45800.000000,512724
2022-07-21,45850.000000,46200.000000,45350.000000,45650.000000,45650.000000,235261
2022-07-22,46100.000000,50200.000000,46100.000000,49900.000000,49900.000000,1310106
2022-07-25,50100.000000,52500.000000,49500.000000,51700.000000,51700.000000,1069319
2022-07-26,51700.000000,53400.000000,51200.000000,51500.000000,51500.000000,633686
2022-07-27,52100.000000,52800.000000,50100.000000,52200.000000,52200.000000,586458
2022-07-28,52300.000000,55000.000000,52000.000000,53700.000000,53700.000000,973288
2022-07-29,54100.000000,66500.000000,53800.000000,64400.000000,64400.000000,10621218
2022-08-01,63800.000000,65600.000000,63600.000000,64500.000000,64500.000000,2559350
2022-08-02,64600.000000,68600.000000,63600.000000,63600.000000,63600.000000,4150358
